sampleID	pair		pairing_type	inter_vs_intra	dvh	D.line	D.generation	D.epd	D.colony	mmp	M.line	M.generation	M.epd	M.colony	rate	yield	source	used.model	picked.model	measure	avg.rate	sd.rate	avg.yield	sd.yield	notes	isgood	wasmodified	windowsize	rate_Kris	rate_Kris_sd	OD_Kris	OD_Kris_sd			
5/31/2019-sPCP-15	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009218729	0.335348154	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	1	100	0.044361443	0.000322266	0.347769803	0.002265562	3	0.044361443	0.347769803
5/31/2019-sPCP-16	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.0092508	0.30686013	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806		0	1	50	0.053944144	0.001652029	0.34447096	0.006720822	3	0.053944144	0.34447096
5/6/2019-sPFO-19	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.006545556	0.385200625	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193		0	0	49	0.034897166	0.00150776	0.389792729	0.001180418	3	0.034897166	0.389792729
5/6/2019-sPFO-20	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.007591338	0.397673428	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193		0	1	250	0.054103621	0.000768816	0.401122974	0.001958149	3	0.054103621	0.401122974
5/6/2019-sPFO-21	DvH Anc. (D2) & UE3.152.03.M03	DvH Anc. (D2) & UE3.152.03.M03Jess	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.008105789	0.406262485	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193		0	1	100	0.052924281	0.000540435	0.420341592	0.031663026	3	0.052924281	0.420341592
4/26/2019-sOP-49	DvH Anc. (D2) & UE3.152.09.M02	DvH Anc. (D2) & UE3.152.09.M02Jess	Dan_Mev	D0_M9	AN.02.D.NA	AN	2	D	An	UE3.152.09.M02	UE3	152	9	M02	0.007779539	0.348974577	Jess	richards	richards	OD600	0.007921508	0.001285061	0.360892918	0.019043743		0	1	225	0.057094921	0.001126586	0.361224	0.015548043	4	0.057094921	0.361224
4/26/2019-sOP-50	DvH Anc. (D2) & UE3.152.09.M02	DvH Anc. (D2) & UE3.152.09.M02Jess	Dan_Mev	D0_M9	AN.02.D.NA	AN	2	D	An	UE3.152.09.M02	UE3	152	9	M02	0.008381624	0.341277534	Jess	richards	richards	OD600	0.007921508	0.001285061	0.360892918	0.019043743		0	1	225	0.046349544	0.001224082	0.347138	0.001859414	4	0.046349544	0.347138
4/26/2019-sOP-51	DvH Anc. (D2) & UE3.152.09.M02	DvH Anc. (D2) & UE3.152.09.M02Jess	Dan_Mev	D0_M9	AN.02.D.NA	AN	2	D	An	UE3.152.09.M02	UE3	152	9	M02	0.007105743	0.361228513	Jess	richards	richards	OD600	0.007921508	0.001285061	0.360892918	0.019043743		0	1	100	0.032854804	0.000185507	0.363348	0.010569947	4	0.032854804	0.363348
4/26/2019-sOP-52	DvH Anc. (D2) & UE3.152.09.M02	DvH Anc. (D2) & UE3.152.09.M02Jess	Dan_Mev	D0_M9	AN.02.D.NA	AN	2	D	An	UE3.152.09.M02	UE3	152	9	M02	0.010466059	0.365919467	Jess	richards	richards	OD600	0.007921508	0.001285061	0.360892918	0.019043743		0	1	100	0.057120619	0.00293728	0.367178	0.006938373	4	0.057120619	0.367178
4/26/2019-sOP-54	DvH Anc. (D2) & UE3.152.09.M02	DvH Anc. (D2) & UE3.152.09.M02Jess	Dan_Mev	D0_M9	AN.02.D.NA	AN	2	D	An	UE3.152.09.M02	UE3	152	9	M02	0.005878172	0.359880244	Jess	richards	richards	OD600	0.007921508	0.001285061	0.360892918	0.019043743		0	1	200	0.053554617	0.001195369	0.361888	0.000784901	4	0.053554617	0.361888
