ID	pair	pairing_type	inter_vs_intra	dvh	D.line	D.generation	D.epd	D.colony	mmp	M.line	M.generation	M.epd	M.colony	rate	yield	source	used.model	picked.model	measure	avg.rate	sd.rate	avg.yield	sd.yield
476	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.005250853	0.300612075	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
477	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008071602	0.363940436	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
478	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008662261	0.375432994	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
479	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008622856	0.377267776	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
480	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008944143	0.358234754	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
481	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.009288542	0.358095918	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
482	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.012003819	0.408287342	Jess	logistic	logistic	OD600	0.008231323	0.002444592	0.400722551	0.042233755
483	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.009343271	0.387877329	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
500	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.005250853	0.300612075	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
501	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008071602	0.363940436	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
502	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008662261	0.375432994	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
503	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008622856	0.377267776	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
504	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008944143	0.358234754	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
505	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.009288542	0.358095918	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
506	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.011874104	0.41108302	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
507	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.009343271	0.387877329	Jess	richards	richards	OD600	0.008549411	0.001602946	0.363600373	0.0294478
524	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.004912908	0.323499686	Jess	logistic	logistic	OD600	0.008231323	0.002444592	0.400722551	0.042233755
525	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.006214093	0.432394461	Jess	logistic	logistic	OD600	0.008231323	0.002444592	0.400722551	0.042233755
526	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.00739144	0.41049262	Jess	logistic	logistic	OD600	0.008231323	0.002444592	0.400722551	0.042233755
527	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.007135517	0.419435763	Jess	logistic	logistic	OD600	0.008231323	0.002444592	0.400722551	0.042233755
528	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008237364	0.375427635	Jess	logistic	logistic	OD600	0.008231323	0.002444592	0.400722551	0.042233755
529	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.009168122	0.36080263	Jess	logistic	logistic	OD600	0.008231323	0.002444592	0.400722551	0.042233755
530	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.012003819	0.408287342	Jess	logistic	logistic	OD600	0.008231323	0.002444592	0.400722551	0.042233755
531	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.007014821	0.467875482	Jess	logistic	logistic	OD600	0.008231323	0.002444592	0.400722551	0.042233755
548	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.004359758	0.428542985	Jess	gompertz	gompertz	OD600	0.006938507	0.001985988	0.501517444	0.10057941
549	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.005487619	0.608024988	Jess	gompertz	gompertz	OD600	0.006938507	0.001985988	0.501517444	0.10057941
550	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.006515955	0.494885687	Jess	gompertz	gompertz	OD600	0.006938507	0.001985988	0.501517444	0.10057941
551	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.0062493	0.519156306	Jess	gompertz	gompertz	OD600	0.006938507	0.001985988	0.501517444	0.10057941
552	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.007453725	0.425659616	Jess	gompertz	gompertz	OD600	0.006938507	0.001985988	0.501517444	0.10057941
553	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008357909	0.396697384	Jess	gompertz	gompertz	OD600	0.006938507	0.001985988	0.501517444	0.10057941
554	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.010863381	0.451728553	Jess	gompertz	gompertz	OD600	0.006938507	0.001985988	0.501517444	0.10057941
555	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.006220408	0.687444036	Jess	gompertz	gompertz	OD600	0.006938507	0.001985988	0.501517444	0.10057941
572	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.007919059	0.285971827	Jess	spline	spline	OD600	0.011808658	0.005562105	0.358328663	0.032784579
573	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.008606421	0.361634762	Jess	spline	spline	OD600	0.011808658	0.005562105	0.358328663	0.032784579
574	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.011278489	0.370427662	Jess	spline	spline	OD600	0.011808658	0.005562105	0.358328663	0.032784579
575	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.009116601	0.374779658	Jess	spline	spline	OD600	0.011808658	0.005562105	0.358328663	0.032784579
576	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.009094017	0.354453557	Jess	spline	spline	OD600	0.011808658	0.005562105	0.358328663	0.032784579
577	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.009183106	0.34496984	Jess	spline	spline	OD600	0.011808658	0.005562105	0.358328663	0.032784579
578	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.024476077	0.387524904	Jess	spline	spline	OD600	0.011808658	0.005562105	0.358328663	0.032784579
579	DvH Anc. (D2) & UE3.152.03.M02	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M02	UE3	152	3	M02	0.014795496	0.386867094	Jess	spline	spline	OD600	0.011808658	0.005562105	0.358328663	0.032784579
580	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.006545556	0.385200625	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193
581	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.007591338	0.397673428	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193
582	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.008105789	0.406262485	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193
583	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.006545556	0.385200625	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193
584	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.007591338	0.397673428	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193
585	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.008105789	0.406262485	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193
586	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.005540558	0.405104001	Jess	logistic	logistic	OD600	0.007631697	0.00105592	0.356576925	0.035785017
587	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.007409905	0.402331189	Jess	logistic	logistic	OD600	0.007631697	0.00105592	0.356576925	0.035785017
588	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.007769999	0.413626599	Jess	logistic	logistic	OD600	0.007631697	0.00105592	0.356576925	0.035785017
589	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.005200003	0.433235846	Jess	gompertz	gompertz	OD600	0.007499571	0.001212857	0.369261739	0.044523347
590	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.006905791	0.431147878	Jess	gompertz	gompertz	OD600	0.007499571	0.001212857	0.369261739	0.044523347
591	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.007510923	0.434555109	Jess	gompertz	gompertz	OD600	0.007499571	0.001212857	0.369261739	0.044523347
592	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.01274016	0.387261951	Jess	spline	spline	OD600	0.009601425	0.001654141	0.355832881	0.029700583
593	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009061264	0.394019825	Jess	spline	spline	OD600	0.009601425	0.001654141	0.355832881	0.029700583
594	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.012928591	0.408398759	Jess	spline	spline	OD600	0.009601425	0.001654141	0.355832881	0.029700583
665	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009356884	0.328033551	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806
666	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009511863	0.307159054	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806
667	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.0095529	0.337942178	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806
668	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.01048077	0.335830786	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806
669	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.008249948	0.349937843	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806
670	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.010849541	0.34287888	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806
671	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009218729	0.335348154	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806
672	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.0092508	0.30686013	Jess	default	richards	OD600	0.009558929	0.000800237	0.330498822	0.015802806
673	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009356884	0.328033551	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193
674	DvH Anc. (D2) & UE3.152.03.M03	Dan_Mev	D0_M3	AN.02.D.NA	AN	2	D	An	UE3.152.03.M03	UE3	152	3	M03	0.009511863	0.307159054	Jess	richards	richards	OD600	0.008639771	0.001323795	0.358733118	0.036244193
