ID	pair	pairing_type	inter_vs_intra	dvh	D.line	D.generation	D.epd	D.colony	mmp	M.line	M.generation	M.epd	M.colony	rate	yield	source	used.model	picked.model	measure	avg.rate	sd.rate	avg.yield	sd.yield
468	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005750035	0.271643747	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
469	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.00737297	0.305860409	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
470	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.004945503	0.265791782	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
471	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.006253492	0.307241719	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
472	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005958317	0.235847319	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
473	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.006181894	0.300782728	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
474	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005803115	0.289490246	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
475	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.008435691	0.293355949	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
492	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005750035	0.271643747	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
493	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.00737297	0.305860409	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
494	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.004945503	0.265791782	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
495	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.006253492	0.307241719	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
496	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005958317	0.235847319	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
497	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.006181894	0.300782728	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
498	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005803115	0.289490246	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
499	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.008435691	0.293355949	Jess	richards	richards	OD600	0.006337627	0.001046772	0.283751737	0.023720021
516	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.004644816	0.285793418	Jess	logistic	logistic	OD600	0.005449008	0.001225172	0.294875386	0.026868513
517	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005636974	0.319509057	Jess	logistic	logistic	OD600	0.005449008	0.001225172	0.294875386	0.026868513
518	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.004036298	0.281382704	Jess	logistic	logistic	OD600	0.005449008	0.001225172	0.294875386	0.026868513
519	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005531658	0.316854641	Jess	logistic	logistic	OD600	0.005449008	0.001225172	0.294875386	0.026868513
520	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005773453	0.238149562	Jess	logistic	logistic	OD600	0.005449008	0.001225172	0.294875386	0.026868513
521	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005482836	0.312989019	Jess	logistic	logistic	OD600	0.005449008	0.001225172	0.294875386	0.026868513
522	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.004446439	0.30700262	Jess	logistic	logistic	OD600	0.005449008	0.001225172	0.294875386	0.026868513
523	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.008039592	0.297322067	Jess	logistic	logistic	OD600	0.005449008	0.001225172	0.294875386	0.026868513
540	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.00425374	0.308203804	Jess	gompertz	gompertz	OD600	0.00513296	0.001354661	0.313512733	0.030443401
541	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005182261	0.339079479	Jess	gompertz	gompertz	OD600	0.00513296	0.001354661	0.313512733	0.030443401
542	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.003702516	0.305158306	Jess	gompertz	gompertz	OD600	0.00513296	0.001354661	0.313512733	0.030443401
543	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005222533	0.332980385	Jess	gompertz	gompertz	OD600	0.00513296	0.001354661	0.313512733	0.030443401
544	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005519406	0.247679562	Jess	gompertz	gompertz	OD600	0.00513296	0.001354661	0.313512733	0.030443401
545	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005035856	0.337860683	Jess	gompertz	gompertz	OD600	0.00513296	0.001354661	0.313512733	0.030443401
546	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.004062791	0.332335688	Jess	gompertz	gompertz	OD600	0.00513296	0.001354661	0.313512733	0.030443401
547	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.008084579	0.304803959	Jess	gompertz	gompertz	OD600	0.00513296	0.001354661	0.313512733	0.030443401
564	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005527989	0.279983137	Jess	spline	spline	OD600	0.007078287	0.001747337	0.288686274	0.027185497
565	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.007127346	0.324913412	Jess	spline	spline	OD600	0.007078287	0.001747337	0.288686274	0.027185497
566	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.006743553	0.267960367	Jess	spline	spline	OD600	0.007078287	0.001747337	0.288686274	0.027185497
567	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.010969816	0.311814009	Jess	spline	spline	OD600	0.007078287	0.001747337	0.288686274	0.027185497
568	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005803915	0.237216722	Jess	spline	spline	OD600	0.007078287	0.001747337	0.288686274	0.027185497
569	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.005827788	0.299224198	Jess	spline	spline	OD600	0.007078287	0.001747337	0.288686274	0.027185497
570	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.00685878	0.294304548	Jess	spline	spline	OD600	0.007078287	0.001747337	0.288686274	0.027185497
571	DvH Anc. (D2) & Mmp Anc. (M1)	Dan_Man	D0_M0	AN.02.D.NA	AN	2	D	An	AN.01.M.NA	AN	1	M	An	0.007767111	0.294073798	Jess	spline	spline	OD600	0.007078287	0.001747337	0.288686274	0.027185497
