Simulation no	Total Gscore
638	585.8856051
639	535.3591037
640	535.3591037
641	568.8935502
642	568.8935502
643	553.5451857
644	553.5451857
645	550.3684408
646	550.3684408
647	565.3864135
648	565.3864135
649	568.2974036
650	568.2974036
651	577.0185567
652	577.0185567
653	581.5385143
654	581.5385143
655	554.5781405
656	554.5781405
657	575.4493934
658	575.4493934
659	555.7343138
660	563.6593505
661	562.3467169
662	562.3467169
663	557.4181276
664	557.4181276
665	551.50253
666	551.50253
667	533.7961277
668	533.7961277
669	560.4263102
670	560.4263102
671	571.3761449
672	579.3011817
673	577.7302115
674	577.7302115
675	546.1938333
676	546.1938333
677	568.3324531
678	568.3324531
679	565.7536622
680	565.7536622
681	557.1955252
682	565.120562
683	553.0667389
684	553.0667389
685	552.0692277
686	552.0692277
687	554.2447997
688	554.2447997
689	574.4624732
690	574.4624732
691	559.1313921
692	559.1313921
693	562.9798384
694	562.9798384
695	592.9439254
696	592.9439254
697	543.3700133
698	543.3700133
699	572.885366
700	572.885366
701	556.6247253
702	556.6247253
703	570.8978574
704	570.8978574
705	577.0393267
706	577.0393267
707	538.4644384
708	538.4644384
709	549.1529871
710	549.1529871
711	543.3618721
712	543.3618721
713	553.7598126
714	553.7598126
715	568.4524821
716	568.4524821
717	586.8859329
718	586.8859329
719	572.9464702
720	572.9464702
721	610.6521346
722	610.6521346
723	579.6898234
724	579.6898234
725	561.6707961
726	561.6707961
727	572.5614454
728	572.5614454
729	538.8194797
730	538.8194797
731	573.4037958
732	573.4037958
733	564.020782
734	564.020782
735	598.6807045
736	598.6807045
737	559.9217721
738	559.9217721
739	570.3600751
740	570.3600751
741	547.9033786
742	547.9033786
743	555.6714634
744	555.6714634
745	575.1738995
746	575.1738995
747	544.4503868
748	544.4503868
749	557.4661603
750	557.4661603
751	568.3248542
752	568.3248542
753	585.4069822
754	585.4069822
755	553.4930504
756	553.4930504
757	551.0709556
758	551.0709556
759	587.7663588
760	587.7663588
761	554.2196517
762	554.2196517
763	552.4011881
764	552.4011881
765	559.6525213
766	559.6525213
767	585.4775149
768	585.4775149
769	546.8953618
770	546.8953618
771	572.5492352
772	572.5492352
773	555.5895863
774	555.5895863
775	549.2213334
776	549.2213334
777	581.9672067
778	581.9672067
779	564.0997494
780	564.0997494
781	557.8236929
782	557.8236929
783	547.0412727
784	547.0412727
785	551.5650492
786	551.5650492
787	565.8872315
788	565.8872315
789	579.4328118
790	579.4328118
791	557.6728914
792	557.6728914
793	582.384687
794	582.384687
795	577.5726737
796	577.5726737
797	575.8108538
798	575.8108538
799	551.1992814
800	551.1992814
801	566.9686287
802	566.9686287
803	562.9334957
804	562.9334957
805	593.6776718
806	593.6776718
807	539.9674233
808	539.9674233
809	590.6740471
810	590.6740471
811	560.7630174
812	560.7630174
813	575.3508055
814	575.3508055
815	569.3732817
816	569.3732817
817	565.2316526
818	565.2316526
819	573.5136436
820	573.5136436
821	542.2044158
822	542.2044158
823	560.2487614
824	560.2487614
825	545.9301253
826	545.9301253
827	550.268908
828	550.268908
829	539.5781979
830	539.5781979
831	566.615627
832	566.615627
833	543.8998
834	543.8998
835	556.0335964
836	556.0335964
837	577.4554517
838	577.4554517
839	577.0947926
840	577.0947926
841	599.1977679
842	599.1977679
843	585.8108479
844	585.8108479
845	560.3731015
846	568.2981383
847	575.2583989
848	583.1834356
849	540.3121306
850	540.3121306
851	571.0795119
852	579.0045487
853	554.8025696
854	554.8025696
855	583.5858516
856	583.5858516
857	567.9979641
858	567.9979641
859	567.5808676
860	567.5808676
861	567.9077664
862	567.9077664
863	549.5695816
864	549.5695816
865	566.820107
866	566.820107
867	560.5421617
868	560.5421617
869	560.9330323
870	560.9330323
871	562.6887357
872	562.6887357
873	567.5815674
874	567.5815674
875	566.2995751
876	574.2246119
877	562.1358312
878	562.1358312
879	564.4499159
880	564.4499159
881	534.8311258
882	534.8311258
883	554.6434305
884	554.6434305
885	546.0282452
886	546.0282452
887	525.8110988
888	525.8110988
889	561.0477049
890	561.0477049
891	565.8101941
892	565.8101941
893	566.6425392
894	566.6425392
895	543.9592949
896	543.9592949
897	567.5741128
898	567.5741128
899	574.4586345
900	574.4586345
901	558.2285964
902	558.2285964
903	564.537258
904	564.537258
905	593.3930537
906	593.3930537
907	575.8709542
908	575.8709542
909	563.0700347
910	563.0700347
911	574.4916931
912	574.4916931
913	562.6407997
914	562.6407997
915	552.9704718
916	552.9704718
917	548.6941465
918	548.6941465
919	597.3916451
920	597.3916451
921	557.3660559
922	557.3660559
923	581.232278
924	581.232278
925	554.4849455
926	554.4849455
927	564.6013253
928	564.6013253
929	557.0716595
930	557.0716595
931	571.2016467
932	571.2016467
933	543.3435494
934	543.3435494
935	588.5866091
936	588.5866091
937	546.9260883
938	546.9260883
939	551.1951082
940	551.1951082
941	578.8951584
942	578.8951584
943	587.6462082
944	587.6462082
945	586.3706929
946	594.2957296
947	550.0281953
948	550.0281953
949	577.5682196
950	577.5682196
951	584.5779763
952	592.5030131
953	563.6496448
954	563.6496448
955	546.8458217
956	546.8458217
957	566.7233942
958	566.7233942
959	548.7932735
960	548.7932735
961	572.4982925
962	572.4982925
963	556.1254771
964	556.1254771
965	533.5434985
966	533.5434985
967	545.2722516
968	545.2722516
969	573.8053537
970	573.8053537
971	553.7064416
972	553.7064416
973	569.2562769
974	577.1813137
975	551.6837878
976	551.6837878
977	581.3961258
978	581.3961258
979	542.482674
980	542.482674
981	550.1828357
982	550.1828357
983	581.1681105
984	581.1681105
985	555.2771237
986	563.2021605
987	553.2127179
988	553.2127179
989	553.7595293
990	553.7595293
991	571.5241804
992	571.5241804
993	564.4119729
994	564.4119729
995	556.8857216
996	556.8857216
997	552.6378083
998	552.6378083
999	546.6621617
1000	546.6621617
1001	575.1171168
1002	575.1171168
1003	547.7975614
1004	547.7975614
1005	567.0576148
1006	574.9826516
1007	559.5564944
1008	559.5564944
1009	561.0662764
1010	561.0662764
1011	565.7850266
1012	565.7850266
1013	546.9970215
1014	546.9970215
1015	578.5935067
1016	578.5935067
1017	562.4207017
1018	562.4207017
1019	575.1093989
1020	575.1093989
1021	582.4205677
1022	582.4205677
1023	543.5854388
1024	543.5854388
1025	551.7142856
1026	551.7142856
1027	572.421405
1028	572.421405
1029	560.9623446
1030	560.9623446
1031	596.301894
1032	596.301894
1033	571.4272594
1034	571.4272594
1035	571.4455808
1036	571.4455808
1037	548.7199549
1038	548.7199549
1039	584.1973198
1040	584.1973198
1041	561.990855
1042	561.990855
1043	592.6815527
1044	592.6815527
1045	602.4193069
1046	602.4193069
1047	551.7038453
1048	551.7038453
1049	556.8706923
1050	556.8706923
1051	550.8807594
1052	550.8807594
1053	570.016894
1054	570.016894
1055	568.5003739
1056	568.5003739
1057	585.2299434
1058	585.2299434
1059	561.7982177
1060	561.7982177
1061	581.109981
1062	581.109981
1063	561.1029971
1064	561.1029971
1065	560.5954939
1066	560.5954939
1067	561.2029365
1068	561.2029365
1069	548.5329244
1070	548.5329244
1071	579.2902823
1072	579.2902823
1073	545.2345491
1074	545.2345491
1075	553.3774106
1076	553.3774106
1077	568.6644452
1078	568.6644452
1079	540.2944242
1080	540.2944242
1081	560.4274121
1082	560.4274121
1083	572.0841643
1084	572.0841643
1085	550.3179896
1086	550.3179896
1087	591.5908104
1088	591.5908104
1089	545.7432166
1090	545.7432166
1091	553.1214963
1092	553.1214963
1093	614.2922527
1094	614.2922527
1095	555.0111183
1096	555.0111183
1097	585.7950668
1098	593.7201036
1099	551.3487198
1100	551.3487198
1101	570.2436204
1102	570.2436204
1103	585.0319241
1104	592.9569609
1105	544.7970061
1106	544.7970061
1107	554.7749438
1108	554.7749438
1109	562.4632141
1110	570.3882508
1111	558.6278387
1112	558.6278387
1113	564.9457719
1114	564.9457719
1115	557.8910005
1116	557.8910005
1117	560.088767
1118	560.088767
1119	553.4488098
1120	553.4488098
1121	588.0397811
1122	588.0397811
1123	554.6084919
1124	554.6084919
1125	576.5688401
1126	576.5688401
1127	557.6375301
1128	557.6375301
1129	556.9935164
1130	556.9935164
1131	570.5997263
1132	570.5997263
1133	543.5281805
1134	543.5281805
1135	541.7964828
1136	541.7964828
1137	570.2690098
1138	570.2690098
1139	534.5884855
1140	534.5884855
1141	556.6182259
1142	556.6182259
1143	544.0232297
1144	544.0232297
1145	563.3410814
1146	563.3410814
1147	575.8052568
1148	575.8052568
1149	545.5805728
1150	545.5805728
1151	581.0793997
1152	581.0793997
1153	562.129704
1154	562.129704
1155	542.2175138
1156	542.2175138
1157	539.8420637
1158	539.8420637
1159	552.4663077
1160	552.4663077
1161	554.5539193
1162	554.5539193
1163	573.0694795
1164	573.0694795
1165	559.0645252
1166	559.0645252
1167	560.6878855
1168	560.6878855
1169	578.1039339
1170	578.1039339
1171	561.5987074
1172	561.5987074
1173	572.0896337
1174	572.0896337
1175	558.1189932
1176	558.1189932
1177	568.4421688
1178	568.4421688
1179	560.0713485
1180	560.0713485
1181	562.7866512
1182	562.7866512
1183	544.4233718
1184	544.4233718
1185	549.6686874
1186	549.6686874
1187	554.2475666
1188	554.2475666
1189	567.4858656
1190	567.4858656
1191	567.8978799
1192	567.8978799
1193	579.4277148
1194	579.4277148
1195	560.943863
1196	560.943863
1197	585.8521558
1198	585.8521558
1199	567.5861322
1200	575.511169
1201	568.5555542
1202	576.4805909
1203	557.9052657
1204	557.9052657
1205	569.207456
1206	569.207456
1207	563.5110693
1208	563.5110693
1209	555.4118081
1210	555.4118081
1211	588.0336444
1212	588.0336444
1213	562.7731458
1214	562.7731458
1215	580.054638
1216	580.054638
1217	560.448684
1218	560.448684
1219	591.4541367
1220	591.4541367
1221	552.8541799
1222	552.8541799
1223	551.198173
1224	551.198173
1225	557.5601848
1226	557.5601848
1227	575.3411654
1228	575.3411654
1229	594.1529933
1230	594.1529933
1231	567.6905099
1232	575.6155467
1233	565.7146931
1234	565.7146931
1235	564.7237687
1236	564.7237687
1237	564.6914957
1238	564.6914957
1239	553.2036956
1240	553.2036956
1241	578.933393
1242	578.933393
1243	552.7844338
1244	552.7844338
1245	540.7005377
1246	540.7005377
1247	564.9383037
1248	564.9383037
1249	556.5162197
1250	556.5162197
1251	609.8112226
1252	609.8112226
1253	565.8856792
1254	573.810716
1255	563.0478185
1256	563.0478185
1257	593.8130463
1258	593.8130463
1259	566.0820957
1260	566.0820957
1261	558.5246163
1262	558.5246163
1263	564.6614566
1264	564.6614566
1265	570.0552456
1266	570.0552456
1267	565.4798089
1268	565.4798089
1269	563.5051503
1270	563.5051503
1271	557.5708703
1272	557.5708703
1273	556.4002363
1274	556.4002363
1275	570.4404415
1276	570.4404415
1277	569.4140523
1278	569.4140523
1279	537.4516982
1280	537.4516982
1281	544.3938504
1282	544.3938504
1283	576.7557767
1284	576.7557767
1285	606.0735392
1286	606.0735392
1287	580.308012
1288	580.308012
1289	541.0041615
1290	541.0041615
1291	549.1005637
1292	549.1005637
1293	594.1520205
1294	594.1520205
1295	627.0621136
1296	627.0621136
1297	561.0973705
1298	561.0973705
1299	565.9634043
1300	565.9634043
1301	548.4802224
1302	548.4802224
1303	566.5658773
1304	566.5658773
1305	572.6850505
1306	580.6100873
1307	577.6847679
1308	585.6098047
1309	573.8562931
1310	573.8562931
1311	585.5997803
1312	585.5997803
1313	565.9391903
1314	565.9391903
1315	550.2188519
1316	550.2188519
1317	564.6960536
1318	564.6960536
1319	555.1270232
1320	555.1270232
1321	557.5017947
1322	557.5017947
1323	566.9842385
1324	566.9842385
1325	581.8301598
1326	581.8301598
1327	565.4035699
1328	565.4035699
1329	564.3714153
1330	564.3714153
1331	583.1626931
1332	583.1626931
1333	593.0721471
1334	600.9971839
1335	603.4172057
1336	603.4172057
1337	580.3597451
1338	580.3597451
1339	574.9503146
1340	574.9503146
1341	577.4668736
1342	577.4668736
1343	571.9410625
1344	571.9410625
1345	545.4697777
1346	545.4697777
1347	563.8053964
1348	563.8053964
1349	582.7576937
1350	590.6827304
1351	549.5792544
1352	549.5792544
1353	547.4785163
1354	547.4785163
1355	576.5764157
1356	576.5764157
1357	564.0966922
1358	572.021729
1359	565.8478143
1360	565.8478143
1361	553.6514255
1362	553.6514255
1363	567.8064744
1364	575.7315111
1365	558.4298741
1366	558.4298741
1367	555.4780338
1368	555.4780338
1369	544.3542542
1370	544.3542542
1371	554.6232105
1372	554.6232105
1373	558.8229743
1374	558.8229743
1375	580.4123455
1376	580.4123455
1377	566.680542
1378	566.680542
1379	560.519806
1380	560.519806
1381	554.079769
1382	554.079769
1383	567.2916383
1384	567.2916383
1385	557.8804943
1386	557.8804943
1387	562.2524167
1388	562.2524167
1389	570.3778938
1390	578.3029306
1391	567.1973981
1392	583.1895355
1393	562.6217742
1394	562.6217742
1395	574.9270795
1396	574.9270795
1397	581.5753689
1398	581.5753689
1399	585.4574372
1400	585.4574372
1401	549.3377432
1402	549.3377432
1403	582.342413
1404	582.342413
1405	584.4235468
1406	584.4235468
1407	552.2001867
1408	552.2001867
1409	581.003674
1410	581.003674
1411	555.0867184
1412	563.0117552
1413	570.3118011
1414	570.3118011
1415	560.3802938
1416	560.3802938
1417	584.5472099
1418	584.5472099
1419	559.5992892
1420	559.5992892
1421	547.6207183
1422	547.6207183
1423	555.7816591
1424	555.7816591
1425	582.0665191
1426	582.0665191
1427	552.7254399
1428	552.7254399
1429	574.6826334
1430	574.6826334
1431	548.6938883
1432	548.6938883
1433	562.1765503
1434	562.1765503
1435	566.3490883
1436	566.3490883
1437	559.556129
1438	559.556129
1439	566.3991678
1440	566.3991678
1441	593.6928431
1442	593.6928431
1443	558.8151182
1444	558.8151182
1445	576.9926932
1446	584.91773
1447	572.1762641
1448	572.1762641
1449	544.2094539
1450	544.2094539
1451	543.5136423
1452	543.5136423
1453	606.4674589
1454	614.3924957
1455	550.1424376
1456	550.1424376
1457	573.3085889
1458	581.2336257
1459	554.1387453
1460	554.1387453
1461	551.6867848
1462	551.6867848
1463	580.2972831
1464	588.2223199
1465	568.5135011
1466	568.5135011
1467	545.7280202
1468	545.7280202
1469	559.7568969
1470	559.7568969
1471	574.1904534
1472	574.1904534
1473	544.6366187
1474	544.6366187
1475	576.7176617
1476	576.7176617
1477	568.5802266
1478	568.5802266
1479	556.3252766
1480	556.3252766
1481	600.3701019
1482	600.3701019
1483	583.4706563
1484	583.4706563
1485	567.8502068
1486	567.8502068
1487	556.7760968
1488	556.7760968
1489	591.6579646
1490	599.5830014
1491	588.4177333
1492	588.4177333
1493	556.8275737
1494	556.8275737
1495	540.266259
1496	540.266259
1497	550.0168462
1498	550.0168462
1499	581.1406258
1500	581.1406258
1501	586.8427287
1502	586.8427287
1503	551.6446078
1504	551.6446078
1505	561.1003584
1506	561.1003584
1507	551.0056607
1508	551.0056607
1509	572.7193809
1510	572.7193809
1511	562.211791
1512	562.211791
1513	558.4513209
1514	558.4513209
1515	541.8493661
1516	541.8493661
1517	570.6415204
1518	570.6415204
1519	565.8666809
1520	565.8666809
1521	595.072766
1522	595.072766
1523	581.6293942
1524	581.6293942
1525	552.3487552
1526	552.3487552
1527	556.9175419
1528	556.9175419
1529	555.1114238
1530	555.1114238
1531	586.8887514
1532	594.8137881
1533	556.3971491
1534	556.3971491
1535	561.3567456
1536	561.3567456
1537	567.0254726
1538	567.0254726
1539	568.0533266
1540	568.0533266
1541	572.4576206
1542	572.4576206
1543	556.0726527
1544	556.0726527
1545	570.3167597
1546	578.2417965
1547	536.5182207
1548	536.5182207
1549	569.7331806
1550	569.7331806
1551	565.7743454
1552	565.7743454
1553	588.7795705
1554	588.7795705
1555	564.7752871
1556	564.7752871
1557	533.879105
1558	533.879105
1559	543.5633473
1560	543.5633473
1561	556.1147948
1562	556.1147948
1563	558.1200455
1564	558.1200455
1565	511.0956656
1566	511.0956656
1567	534.8890627
1568	534.8890627
1569	577.1466315
1570	577.1466315
1571	555.3416018
1572	555.3416018
1573	555.0792236
1574	555.0792236
1575	578.2548029
1576	578.2548029
1577	546.1878815
1578	546.1878815
1579	570.9605385
1580	570.9605385
1581	552.3899848
1582	552.3899848
1583	548.9703266
1584	548.9703266
1585	550.9686771
1586	550.9686771
1587	545.5522851
1588	545.5522851
1589	562.6629458
1590	562.6629458
1591	570.5242171
1592	570.5242171
1593	550.0621696
1594	550.0621696
1595	542.7681631
1596	542.7681631
1597	574.7637711
1598	574.7637711
1599	550.8754542
1600	550.8754542
1601	591.2612498
1602	599.1862866
1603	537.0252195
1604	537.0252195
1605	555.805973
1606	555.805973
1607	583.3722829
1608	583.3722829
1609	564.142636
1610	564.142636
1611	551.479495
1612	551.479495
1613	557.720061
1614	557.720061
1615	553.3168093
1616	553.3168093
1617	563.2298874
1618	563.2298874
1619	606.7334041
1620	606.7334041
1621	547.8434096
1622	547.8434096
1623	604.3583089
1624	604.3583089
1625	572.4547544
1626	580.3797911
1627	537.9613712
1628	537.9613712
1629	574.3848713
1630	574.3848713
1631	546.4620293
1632	546.4620293
1633	577.9503639
1634	577.9503639
1635	581.31938
1636	581.31938
1637	563.7458029
1638	563.7458029
1639	571.0455082
1640	571.0455082
1641	579.3957713
1642	587.320808
1643	557.7928335
1644	557.7928335
1645	568.8360121
1646	568.8360121
1647	568.1383765
1648	568.1383765
1649	586.817591
1650	586.817591
1651	606.6639639
1652	606.6639639
1653	574.7752956
1654	574.7752956
1655	527.6508553
1656	527.6508553
1657	586.0731025
1658	586.0731025
1659	564.8280154
1660	572.7530521
1661	567.8849539
1662	567.8849539
1663	567.9448079
1664	567.9448079
1665	563.4132796
1666	563.4132796
1667	567.807453
1668	567.807453
1669	593.9819524
1670	593.9819524
1671	547.7031789
1672	547.7031789
1673	574.0782643
1674	574.0782643
1675	546.3762983
1676	546.3762983
1677	553.4339924
1678	553.4339924
1679	587.1723667
