Simulation #	Total G-Score
814	785.1782499
815	785.5369337
816	796.9607247
817	798.2367704
818	808.9228801
819	788.6323205
820	788.1311201
821	796.5132542
822	793.4757542
823	809.4630265
824	802.6739999
825	812.7762172
826	814.6885779
827	797.6025913
828	794.8787004
829	785.0353236
830	804.6873581
831	794.781112
832	791.4829047
833	812.4319558
834	798.332073
835	815.570628
836	771.9569664
837	779.3459973
838	773.7752545
839	811.8923905
840	776.0909093
841	788.7972827
842	789.5749557
843	804.9683215
844	799.0596178
845	784.1952735
846	803.9296587
847	798.6735075
848	789.5566854
849	802.835343
850	799.6538903
851	813.0080146
852	800.6413241
853	823.9107767
854	777.6257527
855	792.203935
856	799.6637653
857	782.6019202
858	803.4822395
859	804.6649936
860	801.1959302
861	797.6893284
862	783.7402943
863	811.088512
864	784.7202583
865	810.3574395
866	792.030424
867	793.4434751
868	796.1296305
869	794.3079587
870	764.9420514
871	806.00742
872	800.351004
873	786.3781171
874	806.6896323
875	808.9564241
876	788.7554241
877	791.8003472
878	772.4255016
879	831.6960871
880	794.914695
881	790.338852
882	785.2933398
883	804.1347788
884	796.0226844
885	782.253268
886	791.138837
887	791.4138297
888	769.222675
889	824.3424553
890	799.9337948
891	783.2214776
892	806.5508827
893	798.2775348
894	808.3069062
895	803.580942
896	809.4490211
897	794.0098348
898	790.0363393
899	803.9616376
900	796.674833
901	823.0659827
902	784.6160309
903	778.4373046
904	804.7438653
905	779.1936346
906	801.3181299
907	817.8076481
908	792.9889479
909	822.3878182
910	767.5546508
911	807.9831452
912	791.36935
913	820.2225392
914	781.5098316
915	792.9160706
916	809.8361701
917	799.3102061
918	803.9595044
919	786.6382936
920	789.6487371
921	805.5223634
922	785.1183509
923	814.0347595
924	811.1991886
925	815.9911709
926	814.7658888
927	802.8371917
928	806.528887
929	782.3331888
930	791.3885937
931	806.6948791
932	791.491145
933	808.1720643
934	817.5944025
935	821.2478892
936	804.4412374
937	811.8263664
938	822.7540385
939	794.1384365
940	799.2392367
941	806.9307923
942	836.0614066
943	813.0386989
944	782.3361635
945	806.9831841
946	786.4066401
947	810.6721131
948	763.4885895
949	778.0762884
950	786.9078
951	782.6676831
952	773.7452999
953	805.6759132
954	794.6016182
955	773.8045993
956	792.4090317
957	784.2915767
958	785.2583293
959	771.7953203
960	803.5949311
961	781.0625298
962	780.4090287
963	826.5605263
964	788.9939433
965	827.5805686
966	798.5433865
967	803.0419139
968	810.5979862
969	798.0911632
970	816.8677543
971	800.5128103
972	811.4571216
973	823.4942556
974	815.3588288
975	815.0474079
976	806.5309833
977	824.0809331
978	779.6628204
979	789.514659
980	797.8731839
981	811.8157493
982	810.6660921
983	830.9927372
984	789.8783065
985	790.332892
986	792.8845761
987	793.5905374
988	790.570536
989	793.6996791
990	810.8025906
991	776.285719
992	803.9206847
993	806.2236975
994	756.1322855
995	809.355282
996	793.6074406
997	775.3417156
998	778.6354062
999	795.8229991
1000	804.679601
